iter	RMSE
0	29.85792883
1	29.01080983
2	28.21269883
3	27.35471128
4	26.47505542
5	25.62571941
6	24.92594802
7	24.16586853
8	23.50612065
9	22.82261118
10	22.14705914
11	21.54014217
12	20.92043346
13	20.31032878
14	19.71356866
15	19.14326043
16	18.55008625
17	18.06993232
18	17.577638
19	17.08541456
20	16.60473885
21	16.14962829
22	15.69410724
223	15.34760523
24	14.90268329
25	14.46433485
26	14.09202749
27	13.71332552
28	13.33265013
29	12.96783499
30	12.58441775
31	12.26998072
32	11.9402177
33	11.65217862
34	11.33896214
35	11.06804916
36	10.83682108
37	10.55538043
38	10.30112216
39	10.0705251
40	9.840082126
41	9.622612436
42	9.430433909
43	9.203413553
44	9.006720918
45	8.815672371
46	8.627153612
47	8.43675876
48	8.276201299
49	8.101248927
50	7.973233345
51	7.821282335
52	7.667080782
53	7.532991321
54	7.417650382
55	7.294805191
56	7.179169571
57	7.102571735
58	7.002747549
59	6.935879385
60	6.893597801
61	6.854878354
62	6.741005911
63	6.631738858
64	6.53184499
65	6.494519096
66	6.405497316
67	6.365771849
68	6.327986558
69	6.266250439
70	6.22475724
71	6.155723628
72	6.119150726
73	6.027458682
74	5.979905671
75	5.940073823
76	5.895216106
77	5.859054052
78	5.759751494
79	5.702009612
80	5.664761492
81	5.633464184
82	5.575812911
83	5.477641857
84	5.391518513
85	5.309299658
86	5.262281756
87	5.196679253
88	5.157466081
89	5.126726476
90	5.093990974
91	5.062362858
92	5.030666658
93	4.980597445
94	4.904481135
95	4.836047092
96	4.809260224
97	4.74819324
98	4.722478703
99	4.6935519
100	4.667575984
101	4.634094865
102	4.605056479
103	4.564591797
104	4.540612464
105	4.472368151
106	4.431148438
107	4.407722879
108	4.385686007
109	4.321858553
110	4.284378806
111	4.22662551
112	4.196801255
113	4.173252836
114	4.137108237
115	4.111365539
116	4.053110802
117	4.032658657
118	3.983391086
119	3.962720165
120	3.941008214
121	3.878413822
122	3.848403938
123	3.829731957
124	3.795832685
125	3.762879579
126	3.74504686
127	3.722266308
128	3.680528926
129	3.66295248
130	3.627532824
131	3.60043325
132	3.572844872
133	3.556662654
134	3.500886612
135	3.461471736
136	3.43624285
137	3.420899851
138	3.404389575
139	3.380249763
140	3.364639625
141	3.348904037
142	3.329446642
143	3.314600113
144	3.291039544
145	3.240801854
146	3.221341501
147	3.182819552
148	3.146853415
149	3.125331933
150	3.108697263
151	3.091299391
152	3.078942501
153	3.038768826
154	3.024295643
155	2.98519401
156	2.950680501
157	2.938769587
158	2.925433469
159	2.886041335
160	2.87043807
161	2.858914929
162	2.846550498
163	2.835360068
164	2.818848872
165	2.801024063
166	2.787073503
167	2.775897127
168	2.76270826
169	2.748050854
170	2.735363228
171	2.722601998
172	2.689547978
173	2.658212579
174	2.648298537
175	2.619894289
176	2.604764947
177	2.576278014
178	2.567092263
179	2.552903675
180	2.540048452
181	2.531872013
182	2.50374266
183	2.472665487
184	2.461388556
185	2.447665683
186	2.427223813
187	2.418056288
188	2.41069952
189	2.399850734
190	2.388794927
191	2.380740782
192	2.371143309
193	2.362942142
194	2.35372484
195	2.325191943
196	2.316642379
197	2.308093429
198	2.298298531
199	2.26958284
200	2.241533802
201	2.234332436
202	2.226512701
203	2.214247672
204	2.206416254
205	2.179013852
206	2.173220851
207	2.150393433
208	2.126027119
209	2.104879299
210	2.09747869
211	2.07959496
212	2.072617829
213	2.063109858
214	2.056184155
215	2.049280534
216	2.042589918
217	2.033619078
218	2.013458329
219	2.003219238
220	1.982034712
221	1.977543543
222	1.969376203
223	1.964006867
224	1.958091956
225	1.952201536
226	1.948101649
227	1.94273628
228	1.937190055
229	1.932369447
230	1.926903308
231	1.922661919
232	1.917446855
233	1.897251911
234	1.874633463
235	1.870221065
236	1.849583251
237	1.845295581
238	1.841089002
239	1.83635872
240	1.818713558
241	1.801046347
242	1.796476005
243	1.792019306
244	1.787656976
245	1.769732345
246	1.765493003
247	1.748187308
248	1.744065948
249	1.740031709
250	1.736067481
251	1.720282854
252	1.716454169
253	1.700849281
254	1.697126904
255	1.693483121
256	1.677189379
257	1.673651135
258	1.670187472
259	1.656118699
260	1.652761381
261	1.649474751
262	1.646257314
263	1.643107608
264	1.628057757
265	1.624997902
266	1.611427418
267	1.608456241
268	1.605547572
269	1.60270009
270	1.599912505
271	1.585176865
272	1.582470211
273	1.568640763
274	1.556315631
275	1.553705285
276	1.541357972
277	1.538822929
278	1.524787337
279	1.522318354
280	1.519901616
281	1.508449396
282	282	1.541769904
283	1.534690345
284	1.526645006
285	1.51871043
286	1.516462104
287	1.504892414
288	1.493335681
289	1.485756636
290	1.474685453
291	1.467303378
292	1.460008445
293	1.453049544
294	1.442828674
295	1.436070076
296	1.426055144
297	1.42097337
298	1.416005208
299	1.40567611
300	1.395102514
301	1.391221579
302	1.385003671
303	1.375241784
304	1.371506091
305	1.362645218
306	1.358013027
307	1.353507624
308	1.343883694
309	1.342056063
310	1.338510353
311	1.336077893
312	1.333695587
313	1.325068224
314	1.316940079
315	1.305691476
316	1.304035297
317	1.29538276
318	1.287185583
319	1.285595226
320	1.28336962
321	1.275282611
322	1.267772967
323	1.266267818
324	1.264112262
325	1.256169401
326	1.252432483
327	1.245330626
328	1.243928782
329	1.235159307
330	1.233115081
331	1.225724491
332	1.224322514
333	1.222336476
334	1.215296381
335	1.21335216
336	1.20651867
337	1.19956454
338	1.192616899
339	1.188925212
